head,content
['为冬奥会成功举办“保驾护航” 冬奥城市运行及环境保障“两美两星”'],　　原标题：为冬奥会成功举办“保驾护航”，冬奥城市运行及环境保障“两美两星”——以实际行动践行“冬奥有我”承诺　　高水平、高质量、高标准完成好北京2022年冬奥会和冬残奥会保障任务，以实际行动践行“冬奥有我”承诺，这是每一位冬奥城市运行及环境保障工作者和志愿者的共同决心。日前，北京冬奥会城市运行及环境保障组办公室举办交流座谈会，首批冬奥会城市运行及环境保障“两美两星”优秀团队、个人代表汇聚一堂，分享各自参与冬奥、奉献冬奥的经验故事。　　市城管执法局执法总队队员崔里路从事城管工作十多年，2021年冬奥测试赛以来，他在“服务冬奥 环境无碍”等专项执法行动中表现突出，被评为本市首批城市运行及环境保障之星。为了摸清鸟巢、水立方、首体等场馆周边环境情况，崔里路加班加点，最忙的时候两个月只回家了10多天，“接下来，我将广泛动员社会力量参与冬奥城市运行和环境保障工作，充分调动检查单位和身边群众的积极性，参与冬奥、奉献冬奥，进一步提升市民满意度。”　　入选最美城市运行及环境保障团队的北京市气象局探测中心，为冬奥会气象观测提供可靠、准确的数据支撑。这支团队的工作人员们曾顶风冒雪前往延庆赛区检修维护自动气象站，山上的积雪没过小腿，眼镜上结了冰霜，手、脸都被冻得通红、麻木。“但我们很自豪，冬奥测试赛正常举行的背后有我们‘气象人’的身影！”发言代表常晨说，还有50多天，北京冬奥会将正式开幕，市气象局探测中心将全力以赴，以高水平、高质量、高标准完成冬奥会和冬残奥会技术支撑保障任务。　　“两美两星”工作者坚定守护城市运行安全，志愿者们也为维护美丽环境、营造浓厚冬奥氛围贡献出了巨大力量。　　今年已经63岁的“环保奶奶”贺玉凤，在延庆妫水两岸义务捡拾白色垃圾20多年，此次当选为首批最美环境志愿服务之星。说起即将在家门口举办的冬奥会，贺玉凤特别激动，“虽然我们这样的志愿者年龄偏大些，但我们更要发挥余热，带动、影响三十多万延庆乡亲，为创建最美冬奥城作出更大贡献！”　　海淀区万寿路街道公共文明引导员中队是此次评选出的最美环境志愿服务团队之一，作为城市治理的重要力量，队员们在万寿路路口、五棵松场馆群周边开展了礼让斑马线志愿活动。他们规范的站姿、标准的旗语、特有的柔性引导，彰显了高素质志愿者队伍风采，更成为五棵松冬奥场馆周边一道亮丽的风景。　　从2021年8月至2022年3月，北京冬奥会城市运行及环境保障组办公室将分三批次开展冬奥会城市运行及环境保障“两美两星”评选活动。目前，首批60个团队和个人已经评出，第二批选树工作正在开展。未来，将有更多“两美两星”投身冬奥城市运行及环境保障工作，为冬奥会成功举办“保驾护航”。(王天淇)
head,content
['12月11日31个省区市报告新增确诊病例75例 本土病例49例'],　　原标题：截至12月11日24时新型冠状病毒肺炎疫情最新情况　　12月11日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例75例。其中境外输入病例26例（上海8例，广西8例，山东2例，四川2例，云南2例，辽宁1例，福建1例，广东1例，陕西1例），含1例由无症状感染者转为确诊病例（在四川）；本土病例49例（浙江38例，其中绍兴市22例、杭州市8例、宁波市8例；内蒙古10例，均在呼伦贝尔市；黑龙江1例，在哈尔滨市），含20例由无症状感染者转为确诊病例（均在浙江）。无新增死亡病例。新增疑似病例1例，为境外输入病例（在上海）。　　当日新增治愈出院病例24例，解除医学观察的密切接触者1014人，重症病例与前一日持平。　　境外输入现有确诊病例504例（其中重症病例4例），现有疑似病例2例。累计确诊病例10457例，累计治愈出院病例9953例，无死亡病例。　　截至12月11日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例1323例（其中重症病例28例），累计治愈出院病例93720例，累计死亡病例4636例，累计报告确诊病例99679例，现有疑似病例2例。累计追踪到密切接触者1358671人，尚在医学观察的密切接触者49810人。　　31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者20例，其中境外输入10例，本土10例（浙江9例，其中绍兴市8例、杭州市1例；江苏1例，在无锡市）；当日转为确诊病例21例（境外输入1例）；当日解除医学观察14例（境外输入11例）；尚在医学观察的无症状感染者474例（境外输入401例）。　　累计收到港澳台地区通报确诊病例29291例。其中，香港特别行政区12483例（出院12165例，死亡213例），澳门特别行政区77例（出院77例），台湾地区16731例（出院13742例，死亡848例）。　　 责任编辑：刘德宾 
head,content
['截至2021年12月11日24时河南省新型冠状病毒肺炎疫情最新情况'],　　原标题：截至2021年12月11日24时河南省新型冠状病毒肺炎疫情最新情况　　12月11日0—24时，全省无新增确诊病例、无症状感染者和疑似病例，6例本土确诊病例治愈出院。　　2021年7月31日至12月11日24时，全省累计报告本土确诊病例239例，累计出院本土确诊病例202例。目前在定点医院隔离治疗的确诊病例37例。　　2020年1月21日至2021年12月11日24时，全省累计报告确诊病例1637例（本土1512例、境外输入125例），现有住院病例47例（本土37例、境外输入10例）。尚在医学观察的无症状感染者12例（境外输入12例）。累计追踪到密切接触者48916人，正在观察的密切接触者224人。
head,content
['12月11日浙江新增确诊病例38例，杭州市8例、宁波市8例、绍兴市22例'],　　原标题：2021年12月12日浙江省新型冠状病毒肺炎疫情情况　　来源：健康浙江　　12月11日0-24时，新增确诊病例38例，其中杭州市8例（其中无症状感染者转确诊5例）、宁波市8例、绍兴市22例（其中无症状感染者转确诊15例），新增无症状感染者9例（其中杭州市1例，绍兴市8例），已排查密切接触者均已实施集中隔离。截至11日24时，累计报告确诊病例1601例（境外输入病例282例）。责任编辑：刘德宾 
head,content
['浙江12月11日新增本土确诊病例38例、本土无症状感染者9例'],　　原标题：2021年12月12日浙江省新型冠状病毒肺炎疫情情况　　来源：健康浙江 　　12月11日0-24时，新增确诊病例38例，其中杭州市8例（其中无症状感染者转确诊5例）、宁波市8例、绍兴市22例（其中无症状感染者转确诊15例），新增无症状感染者9例（其中杭州市1例，绍兴市8例），已排查密切接触者均已实施集中隔离。截至11日24时，累计报告确诊病例1601例（境外输入病例282例）。责任编辑：贾楠 SN245
head,content
['漫画说纪 | 零接待掩盖不了真吃喝'],　　原标题：漫画说纪 | 零接待掩盖不了真吃喝
head,content
['今明天中东部各地气温至低谷 内蒙古黑龙江等地积雪难融'],　　原标题：今明天中东部各地气温至低谷 内蒙古黑龙江等地积雪难融　　今明天（12月12日至13日），中东部大部地区气温陆续达到本轮降温过程中的低谷，其中今天黑龙江、吉林等地最高气温仅-10℃，天寒地冻，小伙伴们出门需加强保暖措施。同时，我国大部地区雨雪天气将逐渐减弱停止，但内蒙古、黑龙江等地仍有积雪，需警惕道路湿滑，注意交通安全。　　　　今明天，本轮冷空气进入收尾阶段，中东部大部地区的气温陆续达到低谷，其中今天黑龙江、吉林等地的最高气温将降至-10℃左右，长江中下游地区最高气温将普遍降至10℃。明天早晨，最低气温0℃线大致位于川陕交界、湖北北部至苏皖南部一线。　　后天白天开始，冷空气影响结束，各地气温将全面回升，后天华北、黄淮多地最高气温将重回两位数，像石家庄，今天的最高气温仅6℃，后天将攀升至11℃，气温起伏较大，公众需注意及时增减衣物。　　　　降水方面，昨天，我国降水范围较大，其中，甘肃中东部、青海东部及内蒙古东部、黑龙江等地部分地区出现小雪，黑龙江西部局地中雪。　　中央气象台预计，今天北方降雪迅速收敛，内蒙古东北部、黑龙江一带仍有降雪，西南地区东部至长江中下游一带则以雨为主。预计，黑龙江中东部、内蒙古东北部、新疆北疆西北部山区等地有小雪、局地中雪；四川南部、云南、贵州、重庆东部、广西西部、江南大部、江淮大部等地的部分地区有小雨、局地中雨。　　明天，本轮冷空气影响趋于结束，全国大部雨雪天气逐渐减弱停止，北方多地空气又将变得干燥起来，内蒙古东北部、黑龙江西北部、新疆北部、青海西南部等地部分地区有小雪，局地中到大雪。云南、湖南中部、江西西北部等地部分地区有小雨，局地中雨。　　此外，今晨河北中部出现浓雾或强浓雾；其他地区受冷空气影响，雾和霾天气自北向南逐渐减弱消散。　　气象专家提醒，今明两天，黑龙江、内蒙古等地降雪逐渐减弱停歇，但部分地区仍有积雪，当地需加强防范积雪对交通的不利影响。责任编辑：刘德宾 
head,content
['江苏新增本土无症状感染者1例，无锡市报告'],　　原标题：截至12月11日24时江苏新型冠状病毒肺炎疫情最新情况　　来源：健康江苏　　12月11日0-24时，江苏无新增确诊病例，新增本土无症状感染者1例（无锡市报告）。　　目前，在定点医院隔离治疗的确诊病例5例（本土1例、境外输入4例），接受医学观察的无症状感染者8例（本土3例、境外输入5例）。　　2020年1月22日至今，全省累计报告新冠肺炎确诊病例1620例（其中境外输入164例）。　　　　截至12月11日15时，全国现有8个高风险地区，44个中风险地区：　　高风险地区（8个）：　　内蒙古呼伦贝尔市（7个）：满洲里市东山街道，南区街道，北区街道，兴华街道；扎赉诺尔区第一街道，第三街道，第四街道。　　云南省德宏傣族景颇族自治州（1个）：陇川县景岭博郡建筑工地以北、勐宛山水建筑工地以西、仁和医院和星云小区以南、勐宛南路延长线以东片区（71网格）　　中风险地区（44个）：　　上海市浦东新区（2个）：花木街道牡丹路186弄小区，张江镇张东路2281弄玉兰香苑四期小区。　　内蒙古呼伦贝尔市（4个）：满洲里市扎赉诺尔区第二街道，第五街道，灵泉镇，新巴尔虎右旗阿拉坦额莫勒镇。　　内蒙古通辽市（1个）：科尔沁区钱家店镇孔家村。　　黑龙江省哈尔滨市（30个）：道外区龙信家园小区，南岗区爱达尊御小区、君贵东方瑞景小区、华鸿金色柏林小区10号楼、鲁商松江新城（七地块1-20栋、五地块14-17栋、五地块21-23栋）、国庆街2号4号6号与文教街2号至26号半围合楼栋、巴陵街84号至光芒街与巴陵街至光芒街68号半围合楼栋、农垦小区、学府星城小区、果戈里大街58号院、邮政街324号至346号楼栋与邮政街346号至满洲里街59号楼栋半合围区域、宣庆街55号院、悦山国际小区、冬奥村（一期、二期）、华鸿国际中心（1号楼、2号楼、写字楼）、华鸿金色柏林小区8号楼、宣德街26-1号至宣德街30号与芦家街90号至90-18号四单元门市半合围区域，香坊区新松茂樾山二期、东升家园小区、菜艺街123号、睿城小区B5栋A8栋B1栋B4栋合围区域、温哥华森林小区二期、公滨路396号院、珠江帝景小区、旭升街91号（哈汽501栋、哈汽503栋、哈锅55栋合围区域）、乐山路1号（科技公寓1号院、2号院、建北街56号、58号合围区域）、绿海华庭小区三期；松北区地恒托斯卡纳四期B23栋，道里区恒祥城小区二期（14号楼、15号楼、16号楼围合区域），民安小区（6栋、7栋围合区域）。　　广东省广州市（1个）：白云区均禾街文星酒店。　　浙江省宁波市（3个）：镇海区蛟川街道的临江小区，宁波阿尔卑斯电子有限公司，蛟川街道甬记公寓。　　浙江省杭州市（1个）：萧山区北干街道龙湖春江天玺17幢。　　浙江省绍兴市（2个）：上虞区百官街道星光社区阳光假日小区，华维公寓。　　境外（除澳门地区为低风险外）仍全部为高风险地区。责任编辑：贾楠 SN245
head,content
['佐丹力健康产业集团(吉林)有限公司董事长韩丹来校考察'],　　原标题：佐丹力健康产业集团(吉林)有限公司董事长韩丹来校考察　　来源:吉林农业大学　　12月9日上午，佐丹力健康产业集团(吉林)有限公司董事长韩丹等一行来校洽谈合作。校长冯江，中国工程院院士、我校教授李玉，副校长刘景圣会见了韩丹一行。　　冯江代表学校对韩丹董事长表示欢迎，并简要介绍了学校在食药用菌、水稻、人参、食品加工等方面的科技和人才优势。他表示，学校与佐丹力健康产业集团(吉林)有限公司有良好的合作基础，希望更好发挥学校科技、人才优势，与佐丹力共同为吉林农业做大做强服好务。　　韩丹首先对吉林农业大学表示感谢，对学校科学创新、成果转化工作给予了高度评价。他表示，佐丹力健康产业集团(吉林)有限公司致力于服务吉林农业做强做大，希望与学校在食用菌加工、食用菌工业旅游等方面开展合作。　　李玉院士结合国家特别是吉林食用菌产业发展等情况，就结合文旅产业发展食用菌、围绕食药用菌加工促产业等事宜同与会人员进行了深入交流。　　会见前，韩丹一行到菌菜基地、食品科学与工程学院、小麦和玉米深加工国家工程实验室、食药用菌教育部工程研究中心等相关实验室进行考察，并专门听取了食品科学与工程学院王大为教授关于食用菌加工产业的报告。　　科技推广与社会服务中心、食品科学与工程学院相关负责同志、专家分别参加了座谈、考察。　　
head,content
['22岁中国女留学生在美遇车祸身亡 同伴4人受伤'],　　原标题：22岁中国女留学生在美遇车祸身亡 同伴4人受伤　　　　综合美媒“德卢斯新闻论坛”与《世界日报》10日报道，9日下午6点左右，一辆5人驾乘的SUV在公路上与一辆皮卡迎面相撞，事故遭成SUV上人员1死4伤，其中一名中国女留学生不幸遇难。皮卡司机也受了伤。目前伤者均被送医治疗，无生命危险。　　警方称车祸原因与酒精无关，事发时路面湿滑，SUV驶入错误车道。目前还没有关于司机是否会面临指控和被传唤的消息。（海外网 刘强）责任编辑：刘德宾 
head,content
['中国-东盟高级别智库论坛嘉宾：海南与东盟产业合作前景广阔'],　　原标题：中国-东盟高级别智库论坛嘉宾：海南与东盟产业合作前景广阔　　中国-东盟高级别智库论坛嘉宾：　　海南与东盟产业合作前景广阔　　本报海口12月11日讯（记者 苏庆明）12月11日，在北京和海口同步举行的中国-东盟高级别智库论坛上，专家学者表示看好海南与东盟产业合作前景，并建议加强智库建设，在高水平经贸合作上寻求突破。　　“站在中国-东盟伙伴关系立场观察，海南自贸港犹如围棋核心的一只‘眼’；站在海南自贸港立场观察，中国-东盟伙伴关系是自贸港的第一驿站，理应相互依托、共赢发展。”中国社会科学院学部委员田雪原说，海南与东盟产业互补性强，港口贸易、热带农业、海洋渔业、旅游休闲都是双方的重要产业，但发展情况不同，可以发挥各自优势加强合作。　　新加坡国立大学东亚研究所研究员康端严也看好海南与东盟在产业领域的合作前景。他说，热带高效农业是海南和东盟的重要产业，农业是中国与东盟合作的好方向，海南由于地理位置优越，可以打造成中国与东盟农业合作，例如农业科技合作的试验田。他还表示，港口也是海南和东盟合适合作的领域之一，洋浦港是中国离东盟最近的集装箱港口，也是西部陆海新通道的重要枢纽，未来发展潜力巨大，可以成为中国与东盟加强经贸联系的重要渠道。　　中国（海南）改革发展研究院院长、中国特色自由贸易港研究院院长迟福林建言加强智库建设。他表示，智库不仅要为中国与东盟携手共建开放性、非排他的区域合作机制提供智力支持，也要为深化中国与东盟全面战略合作提供智力支持。以打造重要开放门户为目标的海南自由贸易港，是中国与东盟全面合作的战略枢纽与交汇点。在这一背景下，中改院与相关智库倡议建立开放性、网络型的海南自由贸易港与东盟智库联盟。中国（海南）改革发展研究院和海南自由贸易港研究院愿与各方相关智库合作尽快促成此事。
head,content
['江苏宜兴：集中隔离的外省人员中发现一例无症状感染者'],　　原标题：江苏宜兴：集中隔离的外省人员中发现一例无症状感染者　　12月11日下午，，经无锡市专家组，即转运至无锡市定点医院隔离治疗。　　经排查，该无症状感染者12月6日10时乘坐G590列车由绍兴东来宜兴，在宜兴高铁站进行例行核酸检测，结果为阴性；12月6日至9日在万石海滨建设集团工地等区域活动；12月9日社区获知其在外省居住地有阳性病例，即转运至隔离酒店隔离观察。　　截至12月11日21时40分，共排查该无症状感染者在本市密切接触者63人、次密切接触者560人，已全部集中隔离并规范开展核酸检测，已出结果均为阴性。已采集环境样本395份，其中8份阳性，为该无症状感染者住所环境样本，其余结果均为阴性。全市完成其他风险人员核酸检测采样43850人，已出结果均为阴性，其余结果待出。　　（总台记者 杨光）责任编辑：刘光博 
head,content
['12月11日内蒙古新增本土确诊病例10例 均为呼伦贝尔满洲里市'],　　原标题：截至12月11日24时内蒙古自治区新冠肺炎疫情最新情况　　来源：健康内蒙古12320　　12月11日0—24时，内蒙古自治区报告无新增疑似病例和无症状感染者，新增本土确诊病例10例（均为呼伦贝尔满洲里市）。新增本土确诊病例治愈出院1例（为呼伦贝尔满洲里市）。新增本土确诊病例具体情况如下：　　确诊病例529至538：均为满洲里市在集中隔离期间核酸检测中呈阳性，经专家组会诊，诊断为新冠肺炎确诊病例。　　目前，上述人员均已转运至定点医院隔离治疗，相关流调、排查等工作仍在进行中。　　截至12月11日24时，内蒙古自治区现有本土确诊病例534例（呼伦贝尔满洲里市523例、新巴尔虎右旗9例；满洲里市关联确诊病例2例，在通辽市科尔沁区）。均在定点医院隔离治疗，所有密切接触者均在指定场所集中隔离医学观察，严防疫情扩散蔓延。责任编辑：刘德宾 
